a;i;j;D;L;act
1;Zeebrugge;Dudzele;890.0;4.0;0
2;Zeebrugge;Dudzele;890.0;4.0;0
3;Dudzele;Brugge;890.0;6.0;0
4;Dudzele;Brugge;890.0;6.0;0
5;Brugge;Zomergem;890.0;26.0;0
6;Loenhout;Antwerpen;590.1;43.0;0
7;Antwerpen;Gent;590.1;29.0;0
8;Gent;Zomergem;590.1;19.0;0
9;Zomergem;Peronnes;890.0;55.0;0
10;Voeren;Berneau;890.0;5.0;1
11;Voeren;Berneau;395.0;5.0;1
12;Berneau;Liege;890.0;20.0;0
13;Berneau;Liege;395.0;20.0;0
14;Liege;Warnand;890.0;25.0;0
15;Liege;Warnand;395.0;25.0;0
16;Warnand;Namur;890.0;42.0;0
17;Namur;Anderlues;890.0;40.0;0
18;Anderlues;Peronnes;890.0;5.0;0
19;Peronnes;Mons;890.0;10.0;0
20;Mons;Blaregnies;890.0;25.0;0
21;Warnand;Wanze;395.5;10.5;0
22;Wanze;Sinsin;315.5;26.0;1
23;Sinsin;Arlon;315.5;98.0;0
24;Arlon;Petange;315.5;6.0;0
