;slo;sup;plo;pup;c
Anderlues;0;1.2;0;66.2;1.68
Antwerpen;-INF;-4.034;30;80;0
Arlon;-INF;-0.222;0;66.2;0
Berneau;0;0;0;66.2;0
Blaregnies;-INF;-15.616;50;66.2;0
Brugge;-INF;-3.918;30;80;0
Dudzele;0;8.4;0;77;2.28
Gent;-INF;-5.256;30;80;0
Liege;-INF;-6.385;30;66.2;0
Loenhout;0;4.8;0;77;2.28
Mons;-INF;-6.848;0;66.2;0
Namur;-INF;-2.12;0;66.2;0
Petange;-INF;-1.919;25;66.2;0
Peronnes;0;0.96;0;66.2;1.68
Sinsin;0;0;0;63;0
Voeren;20.344;22.012;50;66.2;1.68
Wanze;0;0;0;66.2;0
Warnand;0;0;0;66.2;0
Zeebrugge;8.87;11.594;0;77;2.28
Zomergem;0;0;0;80;0
